"Source:","C:\Users\v-singhmanp\git\Atlas\cad\electronics\AtlasPD\5V Buck Converter.sch"
"Date:","12/13/2021 9:18:24 AM"
"Tool:","Eeschema (5.1.10)-1"
"Component Count:","14"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BT401","Battery_Cell","Battery:BatteryHolder_Keystone_1042_1x18650","~","",""
"BT402","Battery_Cell","Battery:BatteryHolder_Keystone_1042_1x18650","~","",""
"C401","220uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","",""
"C402","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C403","10uF","Capacitor_SMD:C_0603_1608Metric","~","",""
"C404","10uF","Capacitor_SMD:C_0805_2012Metric","~","",""
"C405","220uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","",""
"D401","D_Schottky","Diode_SMD:D_SOD-128","~","",""
"D402","LED","LED_SMD:LED_0805_2012Metric","~","",""
"J401","Conn_01x04","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~","",""
"L401","39 uH","SamacSys_Parts:CDRH127","~","",""
"R401","1k","Resistor_SMD:R_0805_2012Metric","~","",""
"U401","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","",""
"U402","AP1509-50SG-13","Package_SO:SO-8_3.9x4.9mm_P1.27mm","","",""
